target,measured_mean_snr_per_pixel,measured_rms_snr_per_pixel,measured_snr_p16,measured_snr_p84,n_pixels,literature_redmit_snr_per_pixel,literature_provenance,delta_measured_minus_lit
2MASS_1359_40.out.json,39.4889294233133,40.31483834647845,29.746746994010266,48.366156458218974,1055,39.528470752104745,UVES,-0.039541328791443675
2MASS_1412_16.out.json,22.376906614779898,22.961241639828426,16.43604519774888,28.035156143917266,1055,15.811388300841898,UVES archive,6.565518313938
2MASS_1439_19.out.json,34.65418794137871,35.39330024010924,26.292121189698076,42.60087105847975,1055,39.528470752104745,Keck,-4.8742828107260365
2MASS_1441_09.out.json,25.92657168725218,26.529304752448144,19.229534003903115,32.07748000412095,1055,23.717082451262847,UVES archive,2.2094892359893343
2MASS_1506_13.out.json,43.32039046564291,44.29553653512811,32.66151553006507,53.43892173786825,1055,47.434164902525694,UVES,-4.113774436882785
2MASS_1507_16.out.json,41.581108858621434,42.41823605211764,31.840539468633544,50.80648190658672,1055,47.434164902525694,UVES,-5.85305604390426
2MASS_1555_09.out.json,49.633589582003616,50.53740271379244,38.25627970647929,60.0254454193026,1055,31.622776601683796,UVES,18.01081298031982
2MASS_1645_13.out.json,45.841593530441436,46.680532212523566,35.23704797366849,55.453451292599894,1055,31.622776601683796,UVES,14.21881692875764
2MASS_1705_05.out.json,42.348521678750785,43.27923950869493,31.7370136199061,52.09489726922708,1055,31.622776601683796,UVES,10.725745077066989
2MASS_1731_27.out.json,53.96501996546925,55.027220992530594,41.44952042386961,65.86822743031686,1055,39.528470752104745,UVES,14.436549213364508
2MASS_2057_02.out.json,47.78785355567963,48.7584397990585,36.22762041601402,58.39687810676998,1055,31.622776601683796,UVES,16.165076953995836
2MASS_2104_10.out.json,25.397023989461715,25.997850993267544,18.795631108557586,31.489249375274984,1055,23.717082451262847,Keck,1.679941538198868
2MASS_2200_30.out.json,31.113719116910413,31.83997342914684,23.363429075208035,38.45621675766779,1055,31.622776601683796,UVES,-0.5090574847733826
2MASS_2224_01.out.json,21.150429479697674,21.735282165726584,15.450336241414817,26.632344188242126,1055,15.811388300841898,UVES archive,5.339041178855776
2MASS_2351_25.out.json,58.11082701947911,59.13824318182114,44.8886329914856,70.06592565578441,1055,47.434164902525694,Keck,10.676662116953416
