name,designation,spt,J,ew_ha,log_lha_lbol,ew_is_limit,logratio_is_limit,is_detection,multi_epoch_lowest,teff_K,vsini_kms,vsini_is_limit,fwhm_kms,fwhm_nm,vtan_kms,chi_rb_per_A,logratio_implied_rb,rb_residual_dex
2MASS 1045-01,2MASS J10452400-0149576,L1.0,13.16,0.2,-6.44,True,True,False,True,2200,3,True,21.415881957089695,0.04688181652254515,36.6,1.8316019178466853e-06,-6.436138914735984,0.003861085264015962
2MASS 1048+01,2MASS J10484281+0111580,L1.0,12.92,1.08,-5.71,False,False,True,True,2200,17,False,31.740195336512972,0.06948292006547654,37.9,1.8316019178466853e-06,-5.703745154913016,0.006254845086983707
2MASS 1300+19,2MASS J13004255+1912354,L1.0,12.72,0.2,-6.44,True,True,False,True,2200,10,False,25.238858928247925,0.05525075062905868,97.9,1.8316019178466853e-06,-6.436138914735984,0.003861085264015962
2MASS 1359-40,2MASS J13595510-4034582,L1.0,13.65,0.2,-6.44,True,True,False,False,2200,8,False,23.8,0.05210092376640109,,1.8316019178466853e-06,-6.436138914735984,0.003861085264015962
2MASS 1439+19,2MASS J14392836+1929149,L1.0,12.76,3.48,-5.2,False,False,True,True,2200,11,False,26.041505332833584,0.05700783546673487,89.0,1.8316019178466853e-06,-5.195589666453385,0.004410333546615242
2MASS 1555-09,2MASS J15551573-0956055,L1.0,12.56,2.45,-5.35,False,False,True,True,2200,11,False,26.041505332833584,0.05700783546673487,,1.8316019178466853e-06,-5.348002826035433,0.0019971739645665565
2MASS 1145+23,2MASS J11455714+2317297,L1.5,15.39,3.69,-5.27,False,False,True,False,2140,14,False,28.725598340156466,0.0628836222380147,,1.4869231940078077e-06,-5.26068509792159,0.009314902078410014
2MASS 1334+19,2MASS J13340623+1940351,L1.5,15.47,0.2,-6.53,True,True,False,False,2140,30,False,46.95742752749558,0.10279518285194754,,1.4869231940078077e-06,-6.526681468416669,0.0033185315833312856
2MASS 1645-13,2MASS J16452211-1319516,L1.5,12.45,1.51,-5.66,False,False,True,False,2140,9,False,24.489997958350262,0.053611408263332994,,1.4869231940078077e-06,-5.6487345167874805,0.011265483212519634
2MASS 1807+50,2MASS J18071593+5015316,L1.5,12.93,3.79,-5.26,False,False,True,False,2140,76,False,108.45257027844015,0.23741508808181794,11.2,1.4869231940078077e-06,-5.249072254112578,0.010927745887421736
2MASS 2057-02,2MASS J20575409-0252302,L1.5,13.12,8.15,-4.92,False,False,True,True,2140,62,False,89.30419922937554,0.1954971124398819,5.9,1.4869231940078077e-06,-4.916553855340673,0.0034461446593265777
2MASS 0828-13,2MASS J08283419-1309198,L2.0,12.8,0.2,-6.63,True,True,False,True,2080,33,False,50.7487930890972,0.11109491596520654,,1.2004214601991712e-06,-6.619636253535576,0.010363746464423507
2MASS 0921-21,2MASS J09211410-2104446,L2.0,12.78,0.32,-6.42,True,True,False,False,2080,15,False,29.698484809834994,0.06501338206112747,57.8,1.2004214601991712e-06,-6.415516270879651,0.004483729120348556
2MASS 1155-37,2MASS J11553952-3727350,L2.0,12.81,1.0,-5.96,False,False,True,True,2080,22,False,37.27787547594417,0.08160553564477142,49.3,1.2004214601991712e-06,-5.920666249199558,0.039333750800442324
2MASS 1305-25,2MASS J13054019-2541059,L2.0,13.41,1.75,-5.69,False,False,True,False,2080,76,False,108.45257027844015,0.23741508808181794,25.7,1.2004214601991712e-06,-5.677628200513263,0.012371799486737167
2MASS 0523-14,2MASS J05233822-1403022,L2.5,13.08,0.34,-6.52,False,False,True,False,2010,21,False,36.12976612157903,0.07909219287387773,5.1,9.237313951792366e-07,-6.502975378566893,0.0170246214331069
2MASS 1029+16,2MASS J10292165+1626526,L2.5,14.29,1.96,-5.76,False,False,True,False,2010,29,False,45.70951760848062,0.10006336522346289,,9.237313951792366e-07,-5.742198224252672,0.017801775747328108
2MASS 1047-18,2MASS J10473109-1815574,L2.5,14.12,1.16,-5.99,True,True,False,False,2010,15,False,29.698484809834994,0.06501338206112747,,9.237313951792366e-07,-5.96999630638223,0.020003693617770324
